entity	neighbors
__abreaction_1	analysis, purge
__abrocoma_1	chinchillidae, abrocome
__abrocome_1	gnawer, abrocoma
__abrogation_1	recall, derogation
__abronia_1	sand verbena, allioniaceae
__abrupt_1	sudden, disconnected
__abruption_1	break
__abruzzi_1	italia, italian region, aquila
__abscise_1	chop off
__abscission_1	remotion
__abscond_1	flee
__abseil_1	come down, athletics
__absence_1	nonattendance
__absence_without_leave_1	abandonment, armed forces
__absent_1	disappear
__absent_2	inattentive
__absentee_1	traveler, exile
__absinth_1	cordial
__absinthe_1	absinth, wormwood, genus artemisia
__absolute_1	dead
__absolution_2	redemption, indulgence, penance
__absolutism_2	autarchy
__absolve_2	forgive, excuse
__absorb_2	acquire
__absorb_4	mop
__absorb_7	center
__absorb_9	interest, consume
__absorbent_1	sorbent, absorber, absorbent cotton
__absorbent_cotton_1	absorbent, cotton
__absorber_1	natural philosophy, absorbent
__absorption_1	imbibition, sorption, chemical science
__absorption_2	extinction, natural philosophy, action
__absorption_4	biological process, anabolism
__absorption_5	attention, centering
__absorption_6	cognitive state, abstractedness
__absorption_factor_1	natural philosophy, physical property
__abstain_2	fast, avoid
__abstainer_2	individual
__abstract_1	right, concept, absolute
__abstract_2	steal, sum up
__abstract_4	nonrepresentational
__abstract_thought_1	analysis, conjecture, illation, deduction
__abstractedness_1	reverie, absorption
__abstraction_2	theorisation
__abstraction_4	communication, relation, amount, group, psychological feature
__absurd_1	situation, illogical
__abu_ali_al_husain_ibn_abdallah_ibn_sina_1	doc, philosopher
__abu_nidal_organization_1	act of terrorism
__abudefduf_1	fish genus, family pomacentridae, abudefduf saxatilis
__abudefduf_saxatilis_1	damselfish, abudefduf
__abuja_1	national capital, federal republic of nigeria
__abukir_1	bay, mediterranean
__abul_walid_mohammed_ibn_ahmad_ibn_mohammed_ibn_roshd_1	attorney, doc, philosopher
__abundance_1	overabundance, quantity, amplitude, cornucopia
__abuse_1	do by, cruelty, persecution
__abuse_2	billingsgate, expend
__abuse_3	assail, drug abuse
__abut_1	adjoin
__abutilon_1	family malvaceae, dilleniid dicot genus
__abysmal_1	deep
__abyssinia_1	addis ababa, african country, horn of africa, lake tana
__abyssinian_banana_1	herb, ensete
__ac_1	uranium ore, chemical element
__acacia_auriculiformis_1	genus acacia, acacia
__acacia_cambegei_1	genus acacia, acacia
__acacia_catechu_1	genus acacia, acacia
__acacia_dealbata_1	genus acacia, acacia
__acacia_farnesiana_1	genus acacia, acacia
__acacia_melanoxylon_1	genus acacia, blackwood
__acacia_pycnantha_1	genus acacia, acacia
__acacia_xanthophloea_1	genus acacia, acacia
__academe_1	university, tenure, college
__academic_1	educator, prof
__academic_degree_1	doctor s degree, master s degree
__academic_gown_1	gown
__academic_session_1	semester, quarter, academic year
__academic_year_1	semester, quarter, academic session, year
__academy_3	air force academy, military academy, naval academy
__acalypha_1	euphorbiaceae, rosid dicot genus, acalypha virginica
__acalypha_virginica_1	acalypha, bush
__acanthaceae_1	genus acanthus, asterid dicot family, genus graptophyllum, genus thunbergia
__acanthisitta_1	acanthisitta chloris, acanthisittidae
__acanthisitta_chloris_1	new zealand wren, acanthisitta
__acanthisittidae_1	acanthisitta, oscines, bird family, genus xenicus
__acanthocephala_1	acanthocephalan, animal kingdom
__acanthocephalan_1	acanthocephala, worm
__acanthocereus_1	cactaceae, caryophylloid dicot genus
__acanthocereus_pentagonus_1	cactus, pitahaya
__acanthocybium_1	fish genus, acanthocybium solandri
__acanthocybium_solandri_1	mackerel, acanthocybium
__acanthophis_1	acanthophis antarcticus, reptile genus
__acanthophis_antarcticus_1	elapid, acanthophis
__acanthopterygian_1	scorpaenoid, anomalops, opsanus tau, batfish, silverside, boarfish, allmouth, flatfish, launce, acanthopterygii, plectognath, remora, dory
__acanthopterygii_1	berycomorphi, subclass teleostei, order scleroparei, acanthopterygian, order plectognathi, order zeomorphi, order pediculati
__acanthoscelides_1	acanthoscelides obtectus
__acanthoscelides_obtectus_1	seed beetle, acanthoscelides
__acanthuridae_1	surgeonfish, acanthurus, order perciformes
__acanthurus_1	fish genus, acanthurus chirurgus, acanthuridae
__acanthurus_chirurgus_1	acanthurus, surgeonfish
__acapulco_1	mexico, port
__acapulco_gold_1	cannabis, cannabis sativa
__acardia_1	monster, abnormal condition
__acaridae_1	acarina, arthropod family
__acarina_1	family ixodidae, animal order, family trombidiidae, mite, family tetranychidae, family sarcoptidae, acarus, family trombiculidae, arachnida, acaridae, tick
__acarine_1	tick
__acarus_1	acarina, mite
__acc_1	air force, command
__accede_2	ascend, take office
__accede_3	connive, agree
__accelerate_1	deepen
__acceleration_1	alteration
__accelerator_1	storage ring, foot lever, aeroplane, auto, scientific instrument
__accelerator_2	valve, fuel system
__accelerator_3	activator, chemical science
__accent_1	topicalize, bear down, background, pronunciation, emphasise, bring out
__accent_2	articulate, grandness
__accent_3	non standard speech
__accent_4	inflection
__accent_5	diacritic, acute
__accept_1	acknowledge, accept, adopt, abide by, acquire, approbate, evaluate
__accept_2	buckle under, allow, react, agree
__accept_3	accept, be
__accept_4	take
__accept_5	abide
__acceptability_1	satisfactoriness
__acceptable_2	received, linguistics
__acceptance_1	attitude
__acceptance_2	approval, bill of exchange, bosom
__acceptance_3	situation, approval
__access_2	operation, computer science
__access_3	approach
__access_4	entrance
__accessary_1	criminal
__accessible_1	comprehendible
__accession_1	agreement
__accession_3	attainment
__accessory_1	auto accessory, furnishing, belt, computer accessory, component, fitting
__accessory_cephalic_vein_1	forearm, vein
__accho_1	port, israel
__accident_2	coincidence, happening
__accidental_1	unplanned
__accidental_2	extrinsic, unintended
__accidental_injury_1	mutilation, accident
__accipiter_1	accipiter cooperii, accipiter nisus, accipiter gentilis, accipitridae
__accipiter_cooperii_1	hawk, accipiter
__accipiter_gentilis_1	hawk, accipiter
__accipiter_nisus_1	hawk, accipiter
__accipitridae_1	elanus, elanoides, aquila, accipiter, genus gypaetus, circaetus, genus neophron, buteo, bird family, genus gyps, falconiformes, genus milvus
__acclaim_1	approval, applaud
__acclimate_1	adapt
__acclivity_1	incline
__accolade_1	prize, symbol, citation, aliyah
__accommodate_1	abide by, conform to
__accommodate_2	cultivate, domesticate, alter, transcribe, gear
__accommodate_5	domiciliate, barrack, billet
__accommodation_1	advance
__accommodation_4	lodging house, living quarters
__accommodation_5	aid
__accompaniment_1	background, happening
__accompaniment_2	part, descant
__accompany_1	attend
__accompany_3	play, music
__accomplice_1	decoy, assistant
__accomplish_1	complete, do, run
__accomplish_2	begin, culminate, compass
__accomplishment_1	deed, freeing, base on balls, arrival, haymaking, action, beachhead
__accomplishment_2	ability, craft
__accord_1	concord, community, agree
__accord_2	compatibility, give
__accord_4	written agreement, convention
__accordion_1	clavier, free reed instrument
__accost_1	approach, greet
__accouchement_1	birth, natural childbirth
__account_1	debriefing, megillah, comment
__account_2	record, debit, history, balance, biography
__account_3	bulletin, newsletter, communique
__account_4	capital account, declare, balance
__account_5	definition, statement, relationship, derivation, justification, bank account, explanandum, interpretation
__account_6	ground, financial statement
__account_book_1	daybook, accounting
__accountancy_1	bookkeeping, business, cost accounting, carry forward
__accountant_1	bean counter, bourgeois
__accounting_2	internal control, balanced, balance of international payments, inventory, good will, debit, current account, straight line method, write down, limited review
__accounting_4	account book, control account, accounting entry, limited review, audit
__accounting_entry_1	accounting
__accounting_principle_1	principle, gaap
__accoutered_1	equipped, armed forces
__accra_1	national capital, ghana
__accretion_1	growth, deposit
__accretion_2	growth
__accrual_1	increase, buildup
__acculturation_1	cultivation, breeding
__acculturation_2	cognitive content, meme
__accumulate_1	come up, catch, chunk, run up, collect, fund, backlog
__accumulation_2	population, battery, ana, hit parade, nag hammadi, gaap, block, collage, wardrobe, agglomeration, fauna, botany, mass, kludge, trinketry, magi, procession, library, exhibition, asia, book, french west indies, assortment, content, group, ensemble, north america, biology, batch, string, air power, flagging, bundle, fleet, troponomy, long suit, pharmacopoeia, agglomerate, set, south america, oort cloud, pack, traffic, sum, extragalactic nebula, bottle collection
__accumulator_1	secondary cell, galvanic battery, gardner, anode, lead acid accumulator
__accumulator_2	register, computer science
__accuracy_1	quality
__accurate_2	correct
__accusal_1	self accusation, allegation
__accusative_1	inculpative, oblique
__accuse_1	blame, asperse, charge
__accustom_1	harden, alter
__ace_2	expert
__ace_3	serve
__ace_6	saceur, headquarters
__acellular_slime_mold_1	slime mold, class myxomycetes
__acephalia_1	monster, abnormal condition
__acer_1	dicot genus, maple, aceraceae
__aceraceae_1	acer, dipteronia
__acerola_1	dicot, berry
__acetabulum_1	hipbone, socket
__acetate_1	salt, lead acetate
__acetate_disk_1	disc
__acetic_acid_1	indocin, etodolac, cataflam, acular, diclofenac sodium, ketorolac
__acetify_2	chemical science, change state
__acetone_1	ketone, dissolvent
__acetone_body_1	ketone, beta hydroxybutyric acid
__acetonuria_1	branched chain ketoaciduria, symptom
__acetylate_1	change, chemical science
__acetylate_2	alter, chemical science
__acetylene_1	aliphatic compound, oxyacetylene
__acetylsalicylic_acid_1	enteric coated aspirin, salicylate, analgesic, aspirin powder
__ache_1	catch, comprehend, bellyache, prick, cephalalgia, hurting
__ache_2	hanker
__ache_3	burn
__acheron_1	hades, greek mythology
__acherontia_1	acherontia atropos, family sphingidae, arthropod genus
__acherontia_atropos_1	hawk moth, acherontia
__acheta_1	family gryllidae, acheta domestica
__acheta_assimilis_1	cricket
__acheta_domestica_1	cricket, acheta
__achiever_1	individual, natural, first lady
__achilles_tendon_1	calf, heel, sinew
__achoerodus_1	family labridae, achoerodus gouldii
__achoerodus_gouldii_1	wrasse, achoerodus
__achras_1	dicot genus, family sapotaceae
__achras_zapota_1	fruit tree, sapodilla, genus manilkara
__achromatic_1	black gray, lily white, argent
__achromatic_color_1	color, white, black, gray
__achromaticity_1	achromia, visual property
__achromia_1	medical specialty, achromaticity
__acid_1	oxyacid, oil of vitriol, cerotic acid, hydroxy acid, carbolic acid, pantothen, paba, chemical compound, carboxylic acid
__acid_4	chemical science, acidic
__acid_base_balance_1	physiology, chemical equilibrium
__acidic_1	chemical science, acid
__acidity_1	sour, taste property
__acinonyx_1	acinonyx jubatus, mammal genus, family felidae
__acinonyx_jubatus_1	big cat, acinonyx
__acinos_1	asterid dicot genus, acinos arvensis
__acinos_arvensis_1	herb, acinos
__acipenser_1	acipenseridae, acipenser huso
__acipenser_huso_1	sturgeon, beluga caviar, acipenser
__acipenseridae_1	fish family, sturgeon, acipenser
__ack_ack_1	gun, predictor
__ackee_1	edible fruit, akee
__acknowledge_1	accept, attorn, adjudge, concede
__acknowledge_2	accept, communicate
__acknowledge_3	react
__acknowledge_4	give thanks, appreciate
__acknowledgement_2	aloha, thanks, admission, credits, handclasp, receipt
__acknowledgment_2	cross index, annotation
__aclant_1	nato, saclant
__acme_1	crown, extreme, roof peak
__acnidosporidia_1	haplosporidia
__acocanthera_1	dicot genus, apocynaceae, acocanthera oppositifolia, acocanthera oblongifolia
__acocanthera_oblongifolia_1	acocanthera, bush
__acocanthera_oppositifolia_1	acocanthera, bush
__aconitum_1	buttercup family, magnoliid dicot genus
__acoraceae_1	araceae, liliopsid family
__acores_1	portugal, island
__acorn_barnacle_1	balanus, barnacle
__acorn_cup_1	cup, acorn
__acorn_squash_1	winter squash
__acorus_1	liliopsid genus, araceae, acorus calamus
__acorus_calamus_1	acorus
__acoustic_meatus_1	meatus, auricular point
__acoustic_nerve_1	auditory system, cranial nerve
__acoustic_wave_1	acoustics, undulation
__acoustics_1	acoustic wave, natural philosophy, reflect
__acquaint_1	bring out, inform
__acquaintance_1	relationship, information
__acquaintance_2	individual, class fellow, homeboy, messmate
__acquiescence_2	agreement, acceptance, conceding
__acquire_1	benefit, catch, turn, find, capture, change, express, reclaim, accept, call for, partake, acquire, buy, bring in
__acquire_2	acquire, pupate, cozen, pod
__acquire_3	hit the books, absorb
__acquired_reflex_1	learned reaction
__acquirer_1	individual, receiver
__acquiring_1	appropriation, acquisition, capture, pickup, moving in
__acquisition_1	acquiring, regaining, purchase
__acquisition_2	gift, transferred possession, purchase
__acquisition_3	committal to memory, carry over, incorporation, education, basic cognitive process
__acquisitive_1	avaricious
__acquit_1	judge
__acquit_2	bear, act
__acquittal_1	jurisprudence, final decision
__acquittance_1	jurisprudence, instrument
__acragas_1	sicilia, town
__acrasiomycetes_1	genus dictostylium, class, division gymnomycota, cellular slime mold
__acres_1	plantation, entail, freehold, barony, crown land, smallholding, feoff
__acridid_1	grasshopper, acrididae, locust
__acrididae_1	acridid, arthropod family, genus locusta, order orthoptera, genus melanoplus
__acridotheres_1	acridotheres tristis
__acridotheres_tristis_1	acridotheres
__acris_1	amphibian genus, family hylidae, cricket frog
__acrobates_1	flying mouse, mammal genus, family phalangeridae
__acrobatic_feat_1	stunt, tumble, acrobatics
__acrobatics_1	acrobatic feat, gymanstic exercise
__acrobatics_2	flight
__acrocarpus_1	acrocarpus fraxinifolius
__acrocarpus_fraxinifolius_1	acrocarpus, tree
__acrocephalus_1	family sylviidae, bird genus
__acroclinium_1	acroclinium roseum, asterid dicot genus
__acroclinium_roseum_1	acroclinium, everlasting
__acrocomia_1	acrocomia vinifera
__acrocomia_aculeata_1	feather palm, grugru nut
__acrocomia_vinifera_1	feather palm, acrocomia
__acromial_process_1	scapula, appendage
__acropora_1	coelenterate genus, madreporaria, stag s horn coral
__acrostichum_1	family pteridaceae, fern genus, acrostichum aureum
__acrostichum_aureum_1	acrostichum
__acrylate_resin_1	synthetic resin
__act_1	assay, oppose, force, alternate, acquit, engage, contend, go, jest, perform, participate, commit, condescend, act involuntarily, misbehave, court, create, break down, hold back, quack, approach, react, aggress
__act_2	performing arts, support, re create
__act_3	assume
__act_4	dramatic art, stooge, underact, ham, perform
__act_5	assessment, stay, rejection, stop, legitimation, group action, action, distribution, abidance, permissive waste
__act_6	performance
__act_7	expression, legislative act, jurisprudence, instrument, decree
__act_involuntarily_1	salivate, act
__act_of_terrorism_1	pagad, popular struggle front, mak, islamic community, freedom party, democratic front for the liberation of palestine, ibda c, abb, loyalist volunteer force, ela, pflp, hezbollah, kurdistan labor pary, chemical terrorism, al sunna wal jamma, harakat ul jihad i islami, mek, ira, al ummah, andres martinez, 15 may organization, association of islamic groups and communities, ansar al islam, umma tameer e nau, terrorisation, counterterrorist center, jerusalem warriors, eln, sleeper, harakat al jihad al islami al filastini, eco warfare, qibla, force 17, armed islamic group, kkk, mujahedeen kompak, aiai, jafar, aum, asbat al ansar, aksa martyrs brigades, fatah tanzim, turkish hizballah, reign of terror, farc, palestinian hizballah, maffia, stash house, hamas, theoterrorism, movement for revenge, suicide bomber, state sponsored terrorism, automatic face recognition, radical cell, uda, army of the pure, jund ul islam, frightening, domestic terrorism, moro islamic liberation front, holy war warriors, egtk, al ma unah, 3rd october organization, air marshal, east turkestan islamic movement, jayshullah, cyber terrorism, liberation tigers of tamil eelam, br, international terrorism, al gama a al islamiyya, forces of umar al mukhtar, counterterrorism, biological terrorism, uss cole, facial profiling, abu nidal organization, nest, first of october antifascist resistance group, lashkar e jhangvi, dirty war, red hand defenders, black hand, international islamic front for jihad against jews and crusaders, al qa ida, klavern, nuclear terrorism, sendero luminoso, al jama a al islamiyyah al muqatilah bi libya, al tawhid, cira, alir, hawala, fuqra, pflp gc, army of muhammad, mujahadeen, narcoterrorism, twin towers, gspc, coercion, foreign terrorist organization, bombing
__act_on_1	oppose
__act_upon_1	affect, carry, color, blackjack, dominate, prejudice, manipulate
__actaea_1	buttercup family, magnoliid dicot genus
__actias_1	family saturniidae, actias luna, arthropod genus
__actias_luna_1	actias, saturniid
__actinaria_1	actinia, animal order
__acting_1	business, dumb show, impersonation, characterization, performing arts
__actinia_1	coelenterate genus, actinaria
__actinia_2	anemone
__actinic_radiation_1	electromagnetic radiation, ultraviolet, electromagnetic spectrum, infrared, light
__actinidia_1	actinidia chinensis, actinidia polygama, actinidia arguta
__actinidia_arguta_1	actinidia, vine
__actinidia_chinensis_1	chinese gooseberry, actinidia
__actinidia_polygama_1	actinidia, vine
__actinidiaceae_1	dilleniid dicot family
__actiniopteris_1	family pteridaceae, fern genus
__actinomeris_1	aster family, asterid dicot genus
__actinomycetaceae_1	bacteria family, genus actinomyces, actinomycetales
__actinomycetales_1	animal order, family mycobacteriaceae, family streptomycetaceae, actinomycetaceae, actinomycete
__actinomycete_1	streptomyces, actinomycetales, animal
__actinomyxidia_1	cnidosporidia, animal order
__actinopoda_1	class, order radiolaria, class sarcodina, heliozoa
__actinotherapy_1	therapy, medical specialty, x ray therapy
__actinozoa_1	cnidaria, madreporaria, class, actinozoan
__actinozoan_1	actinozoa, sea pen, cnidarian
__action_2	course, play, carrying into action, economy, destabilisation, benignity, accomplishment, act, interaction
__action_3	blockade, war, armed forces, operation, eructation, resistance, police action, sally, electronic warfare
__action_4	custody case, test case, legal proceeding, criminal prosecution, counterclaim, lis pendens, antitrust case
__action_5	extraction, absorption, feedback, cataphoresis, decay, extinction, radiation, keyboard, capture, adiabatic process, formation, diffusion, sink, ecological succession, geologic process, synergism, firing mechanism, source, stimulation, sorption, piano action, chemical action, oscillation, disintegration, temperature change, release, saltation, scattering, leach, curing, flow, ecesis
__action_plant_1	mimosa, genus mimosa
__action_replay_1	replication, telecasting
__actitis_1	actitis hypoleucos, actitis macularia
__actitis_hypoleucos_1	actitis, sandpiper
__actitis_macularia_1	actitis, sandpiper
__activate_1	initiate
__activated_1	reactive, natural philosophy
__activated_2	active, armed forces
__activating_1	activity, causative
__activator_1	biological science, accelerator, sensitiser
__active_1	pathology, chemical agent
__active_13	armed forces, activated
__active_2	armed forces, voice
__activist_1	malcolm little, crusader, black panther
__activity_1	measure, attempt, service, ceremony, play, bag, representation, hunt, grouping, support, domesticity, continuance, creation, operation, concealing, behavior, actus reus, preparation, aid, music, disturbance, military operation, sensory activity, work, didactics, organisation, control, lamentation, committal to writing, game, activating, procedure, role
__activity_3	ablactation, healing, breathing, sex, control, sleeping, insemination, diaphoresis, crying, biological process, breath, reaction, festering
__actor_1	ingenue, dudley moore, buster keaton, eugene curran kelly, lead, gibson, peter alexander ustinov, actress, al jolson, astaire, chevalier, performer, coward, george orson welles, israel strassberg, bing crosby, francis albert sinatra, granville barker, allen, sir herbert beerbohm tree, mime, o toole, charles robert redford, movie actor, booth, martin
__actor_2	individual, ball of fire, busy bee
__actor_s_line_1	line, cue
__actress_1	actor, moira shearer, ginger rogers, black, ethel waters, horne, dietrich, barbra joan streisand, mae west, garland, glenda jackson
__actual_damages_1	jurisprudence, amends
__actualisation_1	objectification, creating by mental acts
__actualise_1	create
__actuary_1	calculator, statistics
__actuation_1	deed, shooting, roll, ejection, jump, launch, throw, pull, drive, dribble
__actuator_1	positioner, mechanism
__actus_reus_1	criminal maintenance, encroachment, falsification, activity, champerty, iniquity, dishonesty, civil wrong, dereliction, misbehavior
__acuity_2	intelligence, steel trap
__acular_1	nonsteroidal anti inflammatory
__acupressure_1	treatment
__acupuncture_1	treatment
__acute_1	accent
__acute_3	perceptive
__acute_myelocytic_leukemia_1	granulocytic leukemia
__acyl_1	foryml, chemical group
__acylglycerol_1	triglyceride, animal oil, glyceryl ester, fat
__ad_1	newspaper ad, bill, top billing
__ad_blitz_1	campaign
__ad_lib_1	do, comment
__adagio_1	music
__adalia_1	city, port
__adalia_2	adalia bipunctata
__adalia_bipunctata_1	lady beetle, adalia
__adam_3	mdma
__adam_and_eve_1	orchid, aplectrum
__adam_s_apple_1	genus tabernaemontana, bush
__adam_s_apple_2	larynx, cartilage
__adam_s_peak_1	mountain peak, ceylon
__adamant_1	atomic number 6
__adams_4	evergreen state, cascade mountains
__adana_1	city, republic of turkey
__adansonia_1	dilleniid dicot genus, adansonia gregorii, bombacaceae
__adansonia_digitata_1	monkey bread
__adansonia_gregorii_1	sour gourd, adansonia
__adapid_1	taxon, order primates
__adapt_2	obey, acclimate, change
__adaptability_1	pliability, ability
__adaptable_1	all mains
__adaptation_1	piece of writing, differentiation, domestication
__adapter_1	musician
__adar_sheni_1	jewish calendar month, hebrew calendar
__add_1	count
__add_2	insert
__add_3	instill, alter
__add_4	calculate, arithmetic
__add_5	hyperactivity, syndrome
__add_in_1	printed circuit, cpu board
__add_on_1	add, attach, annex
__add_on_2	elongation, component, annex
__add_up_1	aggregate, become
__add_up_2	make, be
__addendum_1	matter, appendix
__adder_1	calculating machine
__adder_2	genus vipera
__adder_s_tongue_1	genus ophioglossum, fern
__addict_2	enthusiast
__addict_3	drug addict, drug user
__addiction_1	drug addiction
__addiction_2	award, civil law
__adding_machine_1	cash register, calculating machine
__addis_ababa_1	national capital, abyssinia
__addition_3	indefinite quantity, accretion
__address_1	address, ask, communicate
__address_2	access, computer science
__address_4	computer science
__address_5	geographic point, abode
__address_6	inaugural, colloquium, discourse, oratory, theologise, broach, allocution, impromptu, close, oral presentation, introduction, dithyramb
__address_7	delivery
__addressable_1	available, computer science
__adduct_1	draw
__adduction_1	motility, physiology
__adductor_1	musculus adductor longus, musculus adductor brevis, great adductor muscle
__adelges_1	adelges abietis, adelgidae, adelges piceae, arthropod genus
__adelges_abietis_1	adelges, adelgid
__adelges_piceae_1	adelges, adelgid
__adelgid_1	adelges abietis, adelgidae, pine leaf aphid, adelges piceae
__adelgidae_1	aphidoidea, adelgid, genus pineus, adelges
__adelie_1	genus pygoscelis, penguin
__adelie_coast_1	antarctic continent, geographic area
__adeline_virginia_stephen_woolf_1	bloomsbury group, author
__aden_abyan_islamic_army_1	foreign terrorist organization
__adenanthera_1	adenanthera pavonina, mimosoideae
__adenanthera_pavonina_1	adenanthera, tree
__adenium_1	dicot genus, apocynaceae, adenium multiflorum
__adenium_multiflorum_1	adenium, bush
__adenohypophysis_1	hypophysis, ductless gland, pars anterior
__adenoid_1	pharynx, lymphatic tissue
__adenosis_1	hyperpituitarism, disorder, hyperthyroidism
__adenota_1	mammal genus, adenota vardoni
__adenota_vardoni_1	adenota, antelope
__adeptness_1	skillfulness
__adequacy_1	quality, ampleness, satisfactoriness
__adh_1	pressor, endocrine
__adhere_1	attach
__adhere_3	mold, agglutinate
__adherence_1	traditionalism, support, ecclesiasticism
__adherent_1	bahai, sikh, hinayanist, shintoist, tao, baruch, apostle, rasta, zen buddhist, lamaist
__adhesive_1	birdlime, cement
__adhesive_friction_1	auto, friction
__adhesive_tape_1	tape
__adi_granth_1	sikhism, religious text
__adiabatic_process_1	thermodynamics, action
__adiantaceae_1	fern family, class filicinae
__adiantum_1	fern genus
__adiantum_tenerum_1	maidenhair
__adience_1	psychological science, impulse
__adieu_1	farewell
__adige_1	italia, river
__adipose_cell_1	somatic cell
__adipose_tissue_1	belly, animal tissue, love handle, mons
__adirondack_mountains_1	empire state, chain
__adjective_2	jurisprudence
__adjoin_2	abut, border, cover
__adjudge_1	cancel, call, acknowledge, canonise, beatify, judge, evaluate
__adjudicate_2	judge, end
__adjudicator_1	individual, judge, official
__adjunct_2	low level
__adjust_1	address, focalise, collimate, reorient, tune, trim, true, fit, set, calibrate, justify, harmonise, sync, concenter
__adjustable_spanner_1	spanner, pipe wrench
__adjusted_1	psychological science
__adjuster_1	investigator
__adjustment_2	accommodation, change, laxation
__adjustment_3	synchronisation
__adjustment_5	recompense
__adjutant_1	military officer, armed forces
__adjutant_2	stork
__adjuvant_3	helpful, materia medica
__adlumia_1	family fumariaceae, dilleniid dicot genus
